                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    115,                0.95803,                0.82782,                 1.1469,                0.48599,                0.44952,                0.43222,                0.28154,                 1.2798,                  1.534,                 1.3794,              0.0067754,              0.0067754,              0.0067754
                    116,                0.96668,                0.82451,                 1.1545,                0.48884,                0.43821,                0.42741,                0.28039,                 1.2684,                 1.5499,                 1.3689,              0.0067471,              0.0067471,              0.0067471
                    117,                0.97855,                0.83175,                 1.1558,                0.48586,                0.47633,                 0.4454,                0.29116,                 1.2802,                 1.5191,                 1.3755,              0.0067189,              0.0067189,              0.0067189
                    118,                0.98916,                0.83415,                 1.1594,                0.47834,                0.47298,                0.44657,                0.29413,                  1.265,                 1.5195,                 1.3621,              0.0066906,              0.0066906,              0.0066906
                    119,                0.97132,                0.83198,                 1.1527,                0.53781,                 0.4514,                0.45112,                0.29635,                 1.2705,                 1.5035,                   1.37,              0.0066623,              0.0066623,              0.0066623
                    120,                0.96004,                 0.8352,                   1.15,                0.51191,                0.48638,                0.46351,                0.30903,                 1.2581,                 1.4533,                 1.3703,               0.006634,               0.006634,               0.006634
                    121,                0.95917,                0.82946,                 1.1568,                0.52432,                0.46376,                0.46074,                0.30456,                 1.2661,                 1.4564,                 1.3689,              0.0066057,              0.0066057,              0.0066057
                    122,                0.95637,                0.82736,                 1.1529,                0.47365,                0.48932,                0.45003,                0.29839,                 1.2662,                  1.514,                 1.3665,              0.0065774,              0.0065774,              0.0065774
                    123,                0.96904,                0.82903,                 1.1533,                0.51388,                0.46279,                0.46311,                0.30752,                 1.2588,                 1.4893,                 1.3687,              0.0065491,              0.0065491,              0.0065491
                    124,                0.95614,                0.82182,                 1.1501,                0.48664,                0.44955,                0.43874,                0.29491,                 1.2655,                 1.5454,                 1.3651,              0.0065209,              0.0065209,              0.0065209
                    125,                0.95617,                0.81201,                 1.1455,                0.51898,                0.46167,                0.44936,                0.30132,                 1.2577,                 1.4996,                 1.3662,              0.0064926,              0.0064926,              0.0064926
                    126,                0.95944,                0.81045,                 1.1404,                0.51855,                0.47172,                0.46154,                0.30575,                 1.2801,                 1.4975,                 1.3786,              0.0064643,              0.0064643,              0.0064643
                    127,                0.93782,                0.80172,                  1.143,                0.47458,                0.48722,                0.44723,                0.29826,                 1.2552,                 1.5194,                  1.359,               0.006436,               0.006436,               0.006436
                    128,                 0.9577,                 0.8059,                  1.146,                0.51891,                0.46418,                0.45463,                 0.3013,                 1.2613,                 1.5233,                 1.3765,              0.0064077,              0.0064077,              0.0064077
                    129,                0.94924,                0.80742,                 1.1401,                0.50231,                0.47314,                0.45086,                0.29928,                 1.2691,                 1.5381,                 1.3732,              0.0063794,              0.0063794,              0.0063794
